id|full_url|type_stake|type_sport|name_liga|player_1|player_2|P1|X|P2|time_update
1642749681|https://www.fonbet.ru/sports/tennis/|line|Футбол|Австралия. А-лига|Веллингтон Феникс|Вестерн Юнайтед|2.8|3.45|2.45|21-01-2022-12:11
1642749682|https://www.fonbet.ru/sports/tennis/|line|Футзал|Чемпионат Европы. Нидерланды|Россия|Словакия|1.12|9.0|13.0|21-01-2022-12:11
1642749683|https://www.fonbet.ru/sports/tennis/|line|Футбол|Англия. Премьер-Лига|Уотфорд|Норвич С|2.05|3.5|3.65|21-01-2022-12:11
1642749684|https://www.fonbet.ru/sports/tennis/|line|Футбол|Германия. Бундеслига|Айнтрахт Франкфурт|Арминия Билефельд|1.75|3.5|5.1|21-01-2022-12:11
1642749685|https://www.fonbet.ru/sports/tennis/|line|Футбол|Италия. Серия А|Верона|Болонья|1.95|3.55|3.9|21-01-2022-12:11
1642749686|https://www.fonbet.ru/sports/tennis/|line|Футбол|Испания. Премьер-Лига|Эспаньол|Бетис|3.25|3.35|2.25|21-01-2022-12:11
1642749687|https://www.fonbet.ru/sports/tennis/|line|Футбол|Франция. Премьер-Лига|Лион|Сент-Этьен|1.4|5.25|8.25|21-01-2022-12:11
1642749688|https://www.fonbet.ru/sports/tennis/|line|Футбол|Португалия. Премьер-Лига|Арока|Бенфика|12.5|5.5|1.27|21-01-2022-12:11
1642749689|https://www.fonbet.ru/sports/tennis/|line|Футбол|Португалия. Премьер-Лига|Пасуш Феррейра|Боавишта|2.7|3.0|2.85|21-01-2022-12:11
1642749690|https://www.fonbet.ru/sports/tennis/|line|Футбол|Бельгия. Премьер-Лига|Остенде|Антверпен|3.8|4.05|1.85|21-01-2022-12:11
1642749691|https://www.fonbet.ru/sports/tennis/|line|Футбол|Германия. Бундеслига-2|Фортуна|Нюрнберг|2.4|3.4|2.9|21-01-2022-12:11
1642749692|https://www.fonbet.ru/sports/tennis/|line|Футбол|Германия. Бундеслига-2|Гамбург|Санкт-Паули|2.17|3.7|3.1|21-01-2022-12:11
