id|full_url|type_stake|type_sport|name_liga|player_1|player_2|P1|X|P2|time_update
1642750301|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Теннис|Australian Open. Хард|Маннарино А.|Карацев А.|4.09|0|1.23|21-01-2022-12:11
1642750302|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Теннис|Australian Open. Хард|Хачанов К.|Надаль Р.|5.0|0|1.17|21-01-2022-12:11
1642750303|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Теннис|Australian Open. Хард|Андухар П.|Де Минаур А.|8.4|0|1.07|21-01-2022-12:11
1642750304|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Теннис|Australian Open. Хард|Баутиста-Агут Р.|Фриц Т.|1.94|0|1.86|21-01-2022-12:11
1642750305|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Теннис|Australian Open. Хард|Ван де Зандшульп Б.|Медведев Д.|13.05|0|1.02|21-01-2022-12:11
1642750306|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Теннис|Australian Open. Хард|Дэниел Т.|Синнер Я.|8.4|0|1.07|21-01-2022-12:11
1642750307|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Теннис|Australian Open. Хард|О`Конелл К.|Кресси М.|2.55|0|1.51|21-01-2022-12:11
1642750308|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Теннис|Australian Open. Хард|Пэр Б.|Циципас С.|7.13|0|1.09|21-01-2022-12:11
1642750309|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Теннис|Australian Open. Хард|Рублёв А.|Чилич М.|1.29|0|3.6|21-01-2022-12:11
1642750310|https://betboom.ru/sport/Upcoming/1546#events/1546|Prematch|Теннис|Australian Open. Хард|Эванс Д.|Оже-Альяссим Ф.|1.9|0|1.9|21-01-2022-12:11
