id|full_url|type_stake|type_sport|name_liga|player_1|player_2|P1|X|P2|time_update
1642749376|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Александр Жирнов (Укр)|Валерий Мерзликин (Укр)|1.522|0|2.445|21-01-2022-12:11
1642749377|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Владимир Окопный (Укр)|Богдан Чайковский (Укр)|2.15|0|1.668|21-01-2022-12:11
1642749378|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Владимир Ивасив 1993 (Укр)|Руслан Ковальчук (Укр)|2.045|0|1.53|21-01-2022-12:11
1642749379|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Алексей Коробов (Укр)|Руслан Сергиенко (Укр)|2.425|0|1.53|21-01-2022-12:11
1642749380|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Роман Резниченко (Укр)|Эдуард Рубцов (Укр)|2.51|0|1.5|21-01-2022-12:11
1642749381|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Сергей Поляков (Укр)|Юрий Аброськин (Укр)|1.36|0|3.03|21-01-2022-12:11
1642749382|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|League Pro. Minsk|Антон Козлов (Блр)|Николай Ефимчик (Блр)|1.992|0|1.73|21-01-2022-12:11
1642749383|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Pro League. Czech Republic|Владимир Постелт (Чех)|Стефан Новота (Чех)|1.605|0|2.26|21-01-2022-12:11
1642749384|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Pro League. Czech Republic|Михал Заградка (Чех)|Ярослав Черны (Чех)|1.996|0|1.76|21-01-2022-12:11
1642749385|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Александр Масловский (Укр)|Юрий Кучкудан (Укр)|1.9|0|1.84|21-01-2022-12:11
1642749386|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup. Women|Виктория Гусева (Укр)|Александра Цюпко (Укр)|2.252|0|1.61|21-01-2022-12:11
1642749387|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup. Czech Republic|Мартин Долезал (Чех)|Ондрей Симунек (Чех)|1.975|0|1.704|21-01-2022-12:11
1642749388|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Challenger|Самуэль Аманн (Гер)|Андрей Пуцунтикэ (Мда)|9.9|0|1.035|21-01-2022-12:11
1642749389|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Алексей Шиндель (Укр)|Сергей Кинаш (Укр)|1.878|0|1.86|21-01-2022-12:11
1642749390|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup. Women|Анастасия Гавеля (Укр)|Виктория Анарметова (Укр)|2.29|0|1.59|21-01-2022-12:11
1642749391|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Виталий Соловей (Укр)|Олег Стасевский (Укр)|1.27|0|3.6|21-01-2022-12:11
1642749392|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Виктор Евтодий (Укр)|Ярослав Ткаченко (Укр)|1.26|0|3.66|21-01-2022-12:11
1642749393|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Сергей Гилитуха (Укр)|Анатолий Заплетнюк (Укр)|1.7|0|2.096|21-01-2022-12:11
1642749394|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Вадим Бочковский (Укр)|Владимир Чорнобаб (Укр)|2.482|0|1.51|21-01-2022-12:11
1642749395|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Виталий Рыньдя (Укр)|Виталий Пелтек (Укр)|2.108|0|1.496|21-01-2022-12:11
1642749396|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Григорий Олийник (Укр)|Игорь Синявский М. (Укр)|1.496|0|2.108|21-01-2022-12:11
1642749397|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Ярослав Войтенко (Укр)|Алексей Сапронов (Укр)|1.87|0|1.87|21-01-2022-12:11
1642749398|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Юрий Колос (Укр)|Виктор Сльозка (Укр)|2.482|0|1.51|21-01-2022-12:11
1642749399|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Иван Ефименко (Укр)|Юрий Курищенко (Укр)|2.258|0|1.608|21-01-2022-12:11
1642749400|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Максим Наумчук (Укр)|Максим Кухарук (Укр)|2.01|0|1.75|21-01-2022-12:11
1642749401|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Григорий Олийник (Укр)|Игорь Синявский (Укр)|1.6|0|2.272|21-01-2022-12:11
1642749402|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Pro League. Czech Republic|Даниэль Коубле (Чех)|Владимир Постелт (Чех)|1.37|0|2.982|21-01-2022-12:11
1642749403|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Pro League. Czech Republic|Михал Регнер (Чех)|Михал Заградка (Чех)|3.03|0|1.36|21-01-2022-12:11
1642749404|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Богдан Пиртик (Укр)|Николай Костив (Укр)|2.292|0|1.59|21-01-2022-12:11
1642749405|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup. Women|Яна Михайлик (Укр)|Анастасия Козак (Укр)|1.408|0|2.812|21-01-2022-12:11
1642749406|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup. Czech Republic|Ондрей Конвалинка (Чех)|Ондрей Симунек (Чех)|1.704|0|1.975|21-01-2022-12:11
1642749407|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Сергей Ахламов (Укр)|Павел Пяста (Укр)|1.45|0|2.208|21-01-2022-12:11
1642749408|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Дмитрий Алексеенко (Укр)|Спартак Абальмаз (Укр)|1.63|0|2.21|21-01-2022-12:11
1642749409|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup. Women|Лилия Андреева (Укр)|Анастасия Федоренко (Укр)|1.182|0|3.36|21-01-2022-12:11
1642749410|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Виталий Крохмаль (Укр)|Андрей Зайцев (Укр)|2.08|0|1.71|21-01-2022-12:11
1642749411|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Александр Борысюк (Укр)|Егор Дерун (Укр)|1.872|0|1.865|21-01-2022-12:11
1642749412|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Богдан Чайковский (Укр)|Ярослав Тебенько (Укр)|1.276|0|2.778|21-01-2022-12:11
1642749413|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Challenger|Евгений Щетинин (Блр)|Дамиан Зех (Гер)|1.05|0|8.7|21-01-2022-12:11
1642749414|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Дмитрий Деревинский (Укр)|Сергей Покидько (Укр)|1.58|0|1.96|21-01-2022-12:11
1642749415|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Евгений Гончар (Укр)|Андрей Лукацкий (Укр)|1.07|0|7.6|21-01-2022-12:11
1642749416|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Евгений Голобородько (Укр)|Николай Мельников (Укр)|1.58|0|1.96|21-01-2022-12:11
1642749417|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Михаил Глаголев (Укр)|Юрий Кучкудан (Укр)|2.108|0|1.496|21-01-2022-12:11
1642749418|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Илья Вальчук (Укр)|Валерий Мерзликин (Укр)|2.175|0|1.65|21-01-2022-12:11
1642749419|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Ярослав Войтенко (Укр)|Адам Красуцкий (Укр)|1.402|0|2.325|21-01-2022-12:11
1642749420|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup|Виталий Сидоренко (Укр)|Руслан Сергиенко (Укр)|2.098|0|1.7|21-01-2022-12:11
1642749421|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|TT-Cup|Максим Наумчук (Укр)|Николай Трещетка (Укр)|1.7|0|1.802|21-01-2022-12:11
1642749422|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Pro League|Вячеслав Чернов (Рос)|Александр Екжанов (Рос)|1.86|0|1.878|21-01-2022-12:11
1642749423|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Pro League. Czech Republic|Стефан Новота (Чех)|Йозеф Беловский (Чех)|2.29|0|1.59|21-01-2022-12:11
1642749424|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Pro League. Czech Republic|Ярослав Черны (Чех)|Тибор Баттьяни (Чех)|3.09|0|1.35|21-01-2022-12:11
1642749425|https://melbet.ru/line/tennis/|LineFeed|Table Tennis|Setka Cup. Women|Ольга Юренева (Укр)|Анастасия Москалюк (Укр)|4.26|0|1.1|21-01-2022-12:11
